formula,bandgap
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.53143908172e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.54746084806e-19
H3817Pb100C200I297Br3N2183,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.53143908172e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn5H120Pb15C20I36Br24N20,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs5H100Pb20C20I48Br12N415,2.7557438104799996e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H763Pb20C40I51Br9N437,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs7H3816Pb100C200I250Br50N2177,2.625967503126e-19
H763Pb20C40I51Br9N437,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.53143908172e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.54746084806e-19
Sn1H10Pb1C2I6N4,2.0828296242e-19
H6Pb1C1I3N1,2.6435914460999996e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs1Sn5H339Pb5C10I30N10,2.0507860915199998e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H5Pb1C1I3N2,2.3712214183199996e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs17Sn20H500Pb80C100I300N2083,2.14691668956e-19
H191Pb5C10I14Br1N109,2.45133025002e-19
H6Pb1C1I3N1,2.5154173153799998e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.49939554904e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H5Pb1C1I3N2,2.3712214183199996e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs5H3816Pb100C200I249Br51N2179,2.59552614708e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs1Pb1I1Br2,3.2844620996999993e-19
H193Pb5C10I15N107,2.4833737826999997e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn1H5C1I3N2,2.17896022224e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn1H77Pb1C4I6N43,2.0027207925e-19
H6Pb1C1I3N1,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H381Pb10C20I29Br1N219,2.5154173153799998e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn100H3995C280I276Br24N2125,2.2110037549199997e-19
H6Pb1C1I3N1,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs20H15257Pb400C800I1020Br180N8723,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H150Pb25C25I12Br63N25,3.451088469636e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs100H76323Pb2000C4000I4980Br1020N43577,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn1H6C1I3N1,2.0027207925e-19
H5Pb1C1I3N2,2.3712214183199996e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs9Sn36H920Pb48C100I280N471,1.98669902616e-19
H6Pb1C1I3N1,2.5634826144e-19
H5Pb1C1I3N2,2.4032649509999997e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H3817Pb100C200I259Br51N2183,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn2H77C4I6N43,2.2110037549199997e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.54746084806e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.49939554904e-19
H6Pb1C1I3N1,2.49939554904e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H763Pb20C40I51Br9N437,2.35519965198e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs8H32300Pb100C200I249Br51N2176,2.59552614708e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs1Pb1Br3,3.7170497908799996e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Sn3H192Pb3C10I15N108,2.0027207925e-19
H6Pb1C1I3N1,2.5634826144e-19
H6Pb1C1I3N1,2.5634826144e-19
Cs1Pb1I1Br2,3.3165056323799993e-19
H6Pb1C1I3N1,2.5634826144e-19
